tipo,corrida,latencia_ms
lectura_local,1,0.684538
lectura_local,2,0.530551
lectura_local,3,0.546170
lectura_local,4,0.530745
lectura_local,5,0.384003
lectura_local,6,0.513075
lectura_local,7,0.499929
lectura_local,8,0.518666
lectura_local,9,0.398666
lectura_local,10,0.535856
lectura_local,11,0.559567
lectura_local,12,0.522776
lectura_local,13,0.372285
lectura_local,14,0.387597
lectura_local,15,0.353770
lectura_local,16,0.574129
lectura_local,17,0.529911
lectura_local,18,0.535516
lectura_local,19,0.527647
lectura_local,20,0.515375
lectura_local,21,0.534297
lectura_local,22,0.620105
lectura_local,23,0.516700
lectura_local,24,0.724427
lectura_local,25,0.377679
lectura_local,26,0.297214
lectura_local,27,0.609141
lectura_local,28,0.722405
lectura_local,29,0.495118
lectura_local,30,0.513667
lectura_local,31,0.541224
lectura_local,32,0.391850
lectura_local,33,0.423017
lectura_local,34,0.390647
lectura_local,35,0.533896
lectura_local,36,0.489450
lectura_local,37,0.478763
lectura_local,38,0.460029
lectura_local,39,0.412649
lectura_local,40,0.323374
lectura_local,41,0.455093
lectura_local,42,0.492958
lectura_local,43,0.485104
lectura_local,44,0.495711
lectura_local,45,0.490615
lectura_local,46,0.477166
lectura_local,47,0.493287
lectura_local,48,0.463017
lectura_local,49,0.483303
lectura_local,50,0.558242
lectura_remota,1,0.979266
lectura_remota,2,1.142669
lectura_remota,3,0.793200
lectura_remota,4,0.774100
lectura_remota,5,0.767796
lectura_remota,6,0.773106
lectura_remota,7,0.710857
lectura_remota,8,0.748571
lectura_remota,9,0.821688
lectura_remota,10,0.853836
lectura_remota,11,0.863060
lectura_remota,12,0.721157
lectura_remota,13,1.149611
lectura_remota,14,1.370317
lectura_remota,15,0.900878
lectura_remota,16,0.871932
lectura_remota,17,0.902421
lectura_remota,18,0.850544
lectura_remota,19,0.908446
lectura_remota,20,1.150406
lectura_remota,21,1.061767
lectura_remota,22,0.832980
lectura_remota,23,0.843103
lectura_remota,24,0.687181
lectura_remota,25,0.909344
lectura_remota,26,0.822105
lectura_remota,27,1.385580
lectura_remota,28,1.688020
lectura_remota,29,1.646313
lectura_remota,30,1.344018
lectura_remota,31,0.907308
lectura_remota,32,0.703050
lectura_remota,33,0.889609
lectura_remota,34,0.725709
lectura_remota,35,1.266900
lectura_remota,36,0.919102
lectura_remota,37,0.853221
lectura_remota,38,0.820519
lectura_remota,39,0.680491
lectura_remota,40,0.806218
lectura_remota,41,0.804234
lectura_remota,42,0.770090
lectura_remota,43,0.796009
lectura_remota,44,0.818787
lectura_remota,45,0.804684
lectura_remota,46,0.771387
lectura_remota,47,1.287336
lectura_remota,48,1.126063
lectura_remota,49,0.923859
lectura_remota,50,0.829112
escritura_local,1,13.220151
escritura_local,2,14.086775
escritura_local,3,14.731316
escritura_local,4,14.492068
escritura_local,5,16.089286
escritura_local,6,15.680691
escritura_local,7,16.562567
escritura_local,8,14.540360
escritura_local,9,15.598389
escritura_local,10,14.391711
escritura_local,11,14.736865
escritura_local,12,13.487833
escritura_local,13,13.551645
escritura_local,14,14.799360
escritura_local,15,15.623614
escritura_local,16,15.027071
escritura_local,17,15.852606
escritura_local,18,14.861081
escritura_local,19,14.072963
escritura_local,20,15.620999
escritura_local,21,13.836044
escritura_local,22,15.091019
escritura_local,23,15.627302
escritura_local,24,15.622967
escritura_local,25,14.654227
escritura_local,26,24.244092
escritura_local,27,14.476361
escritura_local,28,14.913905
escritura_local,29,14.827097
escritura_local,30,15.390552
escritura_local,31,14.037821
escritura_local,32,16.633002
escritura_local,33,15.904634
escritura_local,34,14.884569
escritura_local,35,16.099519
escritura_local,36,15.921284
escritura_local,37,15.106460
escritura_local,38,14.380415
escritura_local,39,15.033387
escritura_local,40,14.038995
escritura_local,41,15.107238
escritura_local,42,14.736755
escritura_local,43,15.072604
escritura_local,44,15.039525
escritura_local,45,14.871266
escritura_local,46,15.742151
escritura_local,47,15.492111
escritura_local,48,15.256785
escritura_local,49,13.824397
escritura_local,50,14.966689
escritura_interregional,1,24.786239
escritura_interregional,2,24.618108
escritura_interregional,3,25.549981
escritura_interregional,4,23.388515
escritura_interregional,5,23.787171
escritura_interregional,6,22.361094
escritura_interregional,7,24.271683
escritura_interregional,8,24.350187
escritura_interregional,9,22.019850
escritura_interregional,10,23.441976
escritura_interregional,11,22.843247
escritura_interregional,12,22.268248
escritura_interregional,13,23.730657
escritura_interregional,14,24.914275
escritura_interregional,15,23.115601
escritura_interregional,16,24.666034
escritura_interregional,17,22.297364
escritura_interregional,18,22.702972
escritura_interregional,19,22.461171
escritura_interregional,20,24.349224
escritura_interregional,21,22.205527
escritura_interregional,22,30.319712
escritura_interregional,23,24.261815
escritura_interregional,24,23.749993
escritura_interregional,25,21.608774
escritura_interregional,26,23.394715
escritura_interregional,27,23.644748
escritura_interregional,28,23.959917
escritura_interregional,29,24.207857
escritura_interregional,30,21.702761
escritura_interregional,31,22.123982
escritura_interregional,32,22.142649
escritura_interregional,33,23.404764
escritura_interregional,34,24.237429
escritura_interregional,35,22.822431
escritura_interregional,36,26.674443
escritura_interregional,37,22.920305
escritura_interregional,38,23.450722
escritura_interregional,39,23.569025
escritura_interregional,40,31.803436
escritura_interregional,41,23.137593
escritura_interregional,42,22.084465
escritura_interregional,43,24.157226
escritura_interregional,44,25.037476
escritura_interregional,45,23.114153
escritura_interregional,46,24.488881
escritura_interregional,47,22.767356
escritura_interregional,48,22.795377
escritura_interregional,49,23.227528
escritura_interregional,50,23.484353
